idx,latt,lon,dni
0,60,-165,23.464285714285715
1,60,-164,245.07142857142856
2,60,-163,127.75
3,60,-162,610.0714285714286
4,60,-161,842.1071428571429
5,60,-160,805.6071428571429
6,60,-159,894.25
7,60,-158,993.3214285714286
8,60,-157,988.1071428571428
9,60,-156,993.3214285714286
10,60,-155,904.6785714285714
11,60,-154,547.5
12,60,-153,237.25
13,60,-152,328.0654761904762
14,60,-151,549.672619047619
15,60,-150,132.96428571428572
16,60,-149,101.67857142857144
17,60,-148,70.39285714285714
18,60,-147,0.0
19,60,-146,0.0
20,60,-145,0.0
21,60,-144,93.85714285714286
22,60,-143,23.464285714285715
23,60,-142,125.14285714285714
24,60,-141,354.57142857142856
25,60,-140,289.3928571428572
26,60,-139,664.8214285714286
27,60,-138,748.25
28,60,-137,756.0714285714286
29,60,-136,567.0535714285714
30,60,-135,881.2142857142857
31,60,-134,967.25
32,60,-133,977.6785714285714
33,60,-132,946.3928571428572
34,60,-131,920.3214285714286
35,60,-130,972.4642857142856
36,60,-129,1029.821428571429
37,60,-128,1118.4642857142858
38,60,-127,1040.25
39,60,-126,1045.4642857142858
40,60,-125,1201.892857142857
41,60,-124,1316.607142857143
42,60,-123,1342.678571428571
43,60,-122,1351.3690476190477
44,60,-121,1325.297619047619
45,60,-120,1358.321428571429
46,60,-119,1347.892857142857
47,60,-118,1342.678571428571
48,60,-117,1358.321428571429
49,60,-116,1353.107142857143
50,60,-115,1337.4642857142858
51,60,-114,1353.107142857143
52,60,-113,1353.107142857143
53,60,-112,1540.821428571429
54,60,-111,1402.642857142857
55,60,-110,719.5714285714286
56,60,-109,902.0714285714286
57,60,-108,1092.392857142857
58,60,-107,1281.845238095238
59,60,-106,1425.2380952380952
60,60,-105,1405.25
61,60,-104,1473.0357142857142
62,60,-103,1405.25
63,60,-102,1384.392857142857
64,60,-101,1389.607142857143
65,60,-100,1473.0357142857142
66,60,-99,1504.321428571429
67,60,-98,1514.75
68,60,-97,1546.0357142857142
69,60,-96,1499.107142857143
70,60,-95,0.0
71,60,-94,0.0
72,60,-93,0.0
73,60,-92,0.0
74,60,-91,0.0
75,60,-90,0.0
76,60,-89,0.0
77,60,-88,0.0
78,60,-87,0.0
79,60,-86,0.0
80,60,-85,0.0
81,60,-84,0.0
82,60,-83,0.0
83,60,-82,0.0
84,60,-81,0.0
85,60,-80,0.0
86,60,-79,112.10714285714286
87,60,-78,1214.928571428571
88,60,-77,1351.3690476190477
89,60,-76,1325.297619047619
90,60,-75,1358.321428571429
91,60,-74,1342.678571428571
92,60,-73,1347.892857142857
93,60,-72,1358.321428571429
94,60,-71,1027.2142857142858
95,60,-70,0.0
96,60,-69,0.0
97,60,-68,0.0
98,60,-67,0.0
99,60,-66,1040.25
100,60,-65,500.57142857142856
